Date,Time,Category,Sub-Category,Price,Sales Volume
1/1/2021,18:07:00,Bread,Sourdough,$5.56 ,2
1/1/2021,8:47:00,Bread,Baguette,$4.46 ,2
1/1/2021,12:15:00,Bread,Rye,$6.02 ,2
1/1/2021,11:08:00,Bread,Whole Wheat,$6.18 ,1
1/1/2021,9:43:00,Bread,White,$5.05 ,1
1/1/2021,16:05:00,Cakes,Carrot Cake,$4.51 ,3
1/1/2021,17:27:00,Cakes,Banana Nut Pound,$8.51 ,1
1/1/2021,8:01:00,Cakes,Chocolate Cup Cake,$2.91 ,1
1/1/2021,9:13:00,Pastries,Muffin,$9.05 ,10
1/1/2021,11:32:00,Pastries,Cannoli,$6.25 ,14
1/1/2021,17:01:00,Pastries,Danish,$4.13 ,6
1/1/2021,16:12:00,Pastries,Brownies,$4.24 ,7
1/1/2021,18:44:00,Pastries,Eclair,$4.46 ,48
1/1/2021,16:26:00,Pastries,French Roll,$4.26 ,2
1/1/2021,11:28:00,Pastries,Napolean,$4.62 ,6
1/1/2021,17:17:00,Cookies,Oatmeal Raisin,$2.56 ,5
1/1/2021,8:48:00,Cookies,Sugar Cookie,$2.51 ,3
1/1/2021,10:44:00,Cookies,Black & White,$4.20 ,6
1/1/2021,14:21:00,Biscotti & Scones,Chocolate Chip Scone,$4.14 ,2
1/1/2021,12:09:00,Biscotti & Scones,Anisette Biscotti,$3.22 ,4
1/1/2021,11:48:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/1/2021,13:06:00,Candy & Treats,Local Honey,$6.14 ,2
1/1/2021,9:24:00,Candy & Treats,Popcorn,$3.32 ,3
1/2/2021,9:22:00,Bread,Sourdough,$6.16 ,2
1/2/2021,13:38:00,Bread,Baguette,$4.46 ,2
1/2/2021,12:51:00,Bread,Rye,$6.13 ,2
1/2/2021,8:46:00,Bread,Whole Wheat,$6.19 ,1
1/2/2021,15:34:00,Bread,White,$5.21 ,1
1/2/2021,9:59:00,Cakes,Carrot Cake,$4.51 ,3
1/2/2021,14:05:00,Cakes,Banana Nut Pound,$9.02 ,1
1/2/2021,16:18:00,Cakes,Chocolate Cup Cake,$2.91 ,1
1/2/2021,18:39:00,Pastries,Muffin,$9.05 ,9
1/2/2021,13:36:00,Pastries,Cannoli,$6.25 ,16
1/2/2021,11:45:00,Pastries,Danish,$4.13 ,8
1/2/2021,9:02:00,Pastries,Brownies,$4.24 ,7
1/2/2021,18:14:00,Pastries,Eclair,$4.46 ,44
1/2/2021,12:05:00,Pastries,French Roll,$4.40 ,2
1/2/2021,11:55:00,Pastries,Napolean,$4.75 ,6
1/2/2021,9:24:00,Cookies,Oatmeal Raisin,$2.77 ,5
1/2/2021,12:29:00,Cookies,Sugar Cookie,$2.64 ,3
1/2/2021,18:53:00,Cookies,Black & White,$4.23 ,6
1/2/2021,13:10:00,Biscotti & Scones,Chocolate Chip Scone,$4.26 ,2
1/2/2021,13:22:00,Biscotti & Scones,Anisette Biscotti,$3.22 ,4
1/2/2021,11:42:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/2/2021,12:44:00,Candy & Treats,Local Honey,$6.90 ,2
1/2/2021,18:41:00,Candy & Treats,Popcorn,$3.32 ,3
1/3/2021,9:38:00,Bread,Sourdough,$6.16 ,2
1/3/2021,10:34:00,Bread,Baguette,$4.46 ,2
1/3/2021,11:10:00,Bread,Rye,$6.13 ,2
1/3/2021,15:24:00,Bread,Whole Wheat,$6.19 ,1
1/3/2021,12:59:00,Bread,White,$5.24 ,1
1/3/2021,16:14:00,Cakes,Carrot Cake,$4.51 ,3
1/3/2021,13:53:00,Cakes,Banana Nut Pound,$9.02 ,1
1/3/2021,8:14:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/3/2021,8:51:00,Pastries,Muffin,$9.05 ,7
1/3/2021,13:25:00,Pastries,Cannoli,$6.25 ,16
1/3/2021,12:04:00,Pastries,Danish,$4.13 ,7
1/3/2021,11:58:00,Pastries,Brownies,$4.24 ,9
1/3/2021,13:13:00,Pastries,Eclair,$4.46 ,45
1/3/2021,15:25:00,Pastries,French Roll,$4.40 ,2
1/3/2021,15:09:00,Pastries,Napolean,$4.79 ,7
